area,birth_year,hispanic,race,education,marital_status,gender_birth,gender_identity,rsv_vaccine,covid_vaccine,covid_ever,covid_symptoms,covid_long,household_income,employed,religious_attendance,difficulty_with_expenses,housing,medicare
San Francisco-Oakland-Berkeley,1983,Not Hispanic or Latino,White,High school graduate,Married,Male,Male,NA,NA,NA,NA,NA,NA,Employed,12,2,NA,NA
Los Angeles-Long Beach-Anaheim,1993,Hispanic or Latino,White,Bachelor's degree,Single never married,Female,Female,NA,Yes,Yes,1,No,4,Employed,0,4,Rent,No
Los Angeles-Long Beach-Anaheim,1984,Not Hispanic or Latino,White,Graduate degree,Married,Female,NA,NA,Yes,Yes,2,No,6,Neither Employed nor Retired,0,1,Own with mortgage,No
Riverside-San Bernardino-Ontario,1972,Not Hispanic or Latino,Other/Multiracial,Graduate degree,Divorced,Female,NA,NA,Yes,Yes,2,Yes,5,Employed,1,3,Own with mortgage,No
None/Other,1952,Hispanic or Latino,White,Some college,Married,Female,Female,Yes,Yes,No,0,Never had COVID-19,8,Employed,0,1,Own,Yes
Riverside-San Bernardino-Ontario,1988,Hispanic or Latino,White,Bachelor's degree,Married,Male,NA,NA,NA,NA,NA,NA,NA,Employed,NA,NA,NA,NA
Riverside-San Bernardino-Ontario,1975,Hispanic or Latino,White,Associate's degree,Married,Male,NA,NA,Yes,Yes,2,Yes,7,Employed,1,2,Own with mortgage,No
Los Angeles-Long Beach-Anaheim,1990,Hispanic or Latino,Black,Graduate degree,Single never married,Male,NA,NA,No,No,0,Never had COVID-19,1,Neither Employed nor Retired,0,4,Rent,No
San Francisco-Oakland-Berkeley,1961,Hispanic or Latino,White,Graduate degree,Married,Male,Male,No,Yes,Yes,3,No,8,Employed,1,2,Own,No
None/Other,1988,Hispanic or Latino,White,Bachelor's degree,Single never married,Female,NA,NA,Yes,Yes,4,No,6,Employed,0,4,Own with mortgage,No
None/Other,1955,Hispanic or Latino,White,Associate's degree,Widowed,Male,NA,Yes,Yes,Yes,4,Yes,2,Retired,0,2,Own with mortgage,Yes
Los Angeles-Long Beach-Anaheim,1973,Hispanic or Latino,Asian,Bachelor's degree,Single never married,Female,NA,NA,Yes,Yes,3,No,5,Employed,1,3,Rent,No
San Francisco-Oakland-Berkeley,1983,Hispanic or Latino,White,Graduate degree,Married,Female,Female,NA,NA,NA,NA,NA,NA,Employed,0,NA,NA,NA
Riverside-San Bernardino-Ontario,1986,Hispanic or Latino,White,Associate's degree,Separated,Female,Female,NA,Yes,Yes,2,No,2,Employed,0,3,Rent,No
Riverside-San Bernardino-Ontario,1970,Hispanic or Latino,White,Some college,Married,Female,NA,NA,Yes,Yes,2,No,1,Neither Employed nor Retired,0,4,Own with mortgage,No
San Francisco-Oakland-Berkeley,1971,Not Hispanic or Latino,White,Bachelor's degree,Single never married,Female,NA,NA,Yes,No,0,Never had COVID-19,5,Employed,12,1,Own with mortgage,No
San Francisco-Oakland-Berkeley,1979,Hispanic or Latino,White,Bachelor's degree,Married,Female,Female,NA,Yes,Yes,3,Yes,5,Employed,0,3,Rent,No
Riverside-San Bernardino-Ontario,1955,Hispanic or Latino,Asian,Some college,Married,Male,Male,NA,Yes,NA,NA,NA,NA,Employed,1,2,Own with mortgage,NA
Los Angeles-Long Beach-Anaheim,1974,Not Hispanic or Latino,White,Graduate degree,Married,Male,NA,NA,Yes,Yes,2,No,8,Employed,1,1,Own with mortgage,No
San Francisco-Oakland-Berkeley,1970,Hispanic or Latino,Asian,Graduate degree,Married,Female,Female,NA,NA,NA,NA,NA,NA,Employed,NA,NA,NA,NA
San Francisco-Oakland-Berkeley,1943,Hispanic or Latino,White,Associate's degree,Single never married,Female,NA,No,Yes,No,0,Never had COVID-19,6,NA,0,1,Own,Yes
San Francisco-Oakland-Berkeley,1959,Hispanic or Latino,White,Graduate degree,Married,Male,NA,Yes,Yes,No,0,Never had COVID-19,8,Employed,0,1,Own with mortgage,No
San Francisco-Oakland-Berkeley,1974,Hispanic or Latino,White,Graduate degree,Single never married,Female,Female,NA,Yes,No,0,Never had COVID-19,6,Employed,0,2,Rent,NA
Riverside-San Bernardino-Ontario,1992,Not Hispanic or Latino,White,Some college,Separated,Male,NA,NA,Yes,Yes,3,No,4,Employed,0,4,Rent,No
San Francisco-Oakland-Berkeley,1986,Hispanic or Latino,Asian,Graduate degree,Married,Male,Male,NA,Yes,No,0,Never had COVID-19,8,Employed,0,1,Own with mortgage,No
None/Other,1966,Hispanic or Latino,White,Bachelor's degree,Married,Female,Female,NA,Yes,No,0,Never had COVID-19,8,Employed,0,1,Own,No
San Francisco-Oakland-Berkeley,1988,Hispanic or Latino,Asian,Bachelor's degree,Married,Male,NA,NA,Yes,Yes,3,No,8,Employed,0,1,Own with mortgage,No
Riverside-San Bernardino-Ontario,1953,Hispanic or Latino,White,Bachelor's degree,Married,Male,Male,Yes,Yes,Yes,3,No,6,Retired,0,1,Rent,Yes
None/Other,1983,Hispanic or Latino,White,High school graduate,Single never married,Female,NA,NA,Yes,Yes,3,No,2,Employed,0,2,Own with mortgage,No
Riverside-San Bernardino-Ontario,1955,Hispanic or Latino,Black,Graduate degree,Widowed,Male,NA,No,Yes,No,0,Never had COVID-19,1,Neither Employed nor Retired,12,3,Own with mortgage,Yes
Los Angeles-Long Beach-Anaheim,1959,Hispanic or Latino,White,High school graduate,Divorced,Female,Female,No,Yes,Yes,3,Yes,1,Employed,0,4,Rent,NA
San Francisco-Oakland-Berkeley,1969,Not Hispanic or Latino,White,Bachelor's degree,Married,Female,NA,NA,Yes,No,0,Never had COVID-19,5,Employed,12,3,Own with mortgage,No
None/Other,1983,Hispanic or Latino,Other/Multiracial,Graduate degree,Married,Male,Male,NA,Yes,Yes,2,No,8,Employed,0,1,Own with mortgage,No
San Francisco-Oakland-Berkeley,1961,Not Hispanic or Latino,White,Graduate degree,Married,Female,Female,No,Yes,Yes,3,No,8,Employed,0,1,Own with mortgage,No
Riverside-San Bernardino-Ontario,1942,Hispanic or Latino,White,Some college,Married,Male,NA,No,No,Yes,3,No,2,Retired,12,2,Own,Yes
Los Angeles-Long Beach-Anaheim,1993,Hispanic or Latino,Other/Multiracial,Some college,Divorced,Male,Other,NA,Yes,No,0,Never had COVID-19,4,Employed,0,3,Rent,No
Riverside-San Bernardino-Ontario,1942,Hispanic or Latino,Asian,Graduate degree,Widowed,Female,NA,Yes,Yes,Yes,2,No,5,Employed,4,3,Own with mortgage,No
Riverside-San Bernardino-Ontario,1979,Hispanic or Latino,Asian,Bachelor's degree,Married,Female,NA,NA,NA,NA,NA,NA,NA,Employed,NA,NA,NA,NA
Los Angeles-Long Beach-Anaheim,1973,Hispanic or Latino,White,Associate's degree,Married,Male,Male,NA,NA,NA,NA,NA,NA,Employed,12,1,Own,NA
None/Other,1960,Hispanic or Latino,White,Associate's degree,Single never married,Male,Male,No,Yes,No,0,Never had COVID-19,5,Employed,0,1,Rent,No
None/Other,1949,Hispanic or Latino,White,Bachelor's degree,Widowed,Male,NA,No,Yes,No,0,Never had COVID-19,2,Retired,1,2,Own with mortgage,No
Los Angeles-Long Beach-Anaheim,1957,Hispanic or Latino,White,Some college,Divorced,Female,Female,No,Yes,Yes,4,Yes,7,Employed,1,2,Rent,No
None/Other,1990,Not Hispanic or Latino,Asian,Graduate degree,Married,Male,NA,NA,No,Yes,3,No,4,Employed,12,4,Rent,No
